query,original_url,archive_url,title,archive_date,year,archive_date_dt,snippet_clean,location_name,location_source,source_file
abandono rural,http://www.partido-socialista.pt/ps/programa/parte2.htm,https://arquivo.pt/wayback/19961013180606/http://www.partido-socialista.pt/ps/programa/parte2.htm,Economia e Desenvolvimento,845229966,1996,8452-02-09 09:06:06,"mundo rural estão em desagregação, já que se confundiu política agrícola nacional com a ... deixados ao mais completo abandono em termos do controle da legalidade, como foi o caso da publicidade ...",desagregação,snippet_clean,abandono_rural_1996_C.csv
abandono rural,http://aurelia.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,https://arquivo.pt/wayback/19961207092015/http://aurelia.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,pesperan,849950415,1996,,"abandono da área rural e, simultaneamente, a decadência do contrabando, outrora florescente na ... Esperança - harmonioso e belo templo rural do séc. XVI, reconstruído no séc. XVIII; A arquitectura ...",séc,snippet_clean,abandono_rural_1996_C.csv
abandono rural,http://www.partido-socialista.pt/ps/contrato/cap3.htm,https://arquivo.pt/wayback/19961013180612/http://www.partido-socialista.pt/ps/contrato/cap3.htm,DESENVOLVIMENTO E EMPREGO,845229972,1996,8452-02-09 09:07:02,"VIRAGEM: PRIORIDADES E COMPROMISSOS AS POLÍTICAS O ORDENAMENTO , O AMBIENTE E O MUNDO RURAL A ... desenvolvimento rural ; de desenvolver uma nova política para as cidades; de lançar as bases de um pacto para a ... RURAL Tendências contraditórias marcam profundamente o estado do Ambiente nos últimos dez anos em ...",últimos dez anos em,snippet_clean,abandono_rural_1996_C.csv
abandono rural,http://gabriel.mat.uc.pt/~cmf/artigos/horizontes.html,https://arquivo.pt/wayback/19961110032823/http://gabriel.mat.uc.pt/~cmf/artigos/horizontes.html,Carlos Fonseca,847596503,1996,8475-09-06 05:00:03,"localidade rural de Hinojosa de Duero, na Província de Salamanca. Os seus habitantes vivem dos campos ... deterioradas coroas do Reino de Portugal. O abandono da casa da guarda fiscal é análogo ao da sua ... grandes armazéns e o edifício principal. Tudo num abandono completo... tudo indigno de se ver ...",Província de Salamanca,snippet_clean,abandono_rural_1996_C.csv
abandono rural,http://www.partido-socialista.pt/partido/biblioteca/programa/parte2.htm,https://arquivo.pt/wayback/19970330181600/http://www.partido-socialista.pt/partido/biblioteca/programa/parte2.htm,Economia e Desenvolvimento,859745760,1997,8597-04-05 07:06:00,"pique. A agricultura e o mundo rural estão em desagregação, já que se confundiu política agrícola ... deixados ao mais completo abandono em termos do controle da legalidade, como foi o caso da publicidade ...",desagregação,snippet_clean,abandono_rural_1997_C.csv
abandono rural,http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,https://arquivo.pt/wayback/19970802174833/http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,pesperan,870544113,1997,8705-04-04 01:01:03,", atestam o abandono da área rural e, simultaneamente, a decadência do contrabando, outrora florescente na ... Esperança - harmonioso e belo templo rural do séc. XVI, reconstruído no séc. XVIII; A arquitectura ...",séc,snippet_clean,abandono_rural_1997_C.csv
abandono rural,http://www.nst.pt/ice/iceadest.html,https://arquivo.pt/wayback/19970704170713/http://www.nst.pt/ice/iceadest.html,ICE - Actividades em destaque,868036033,1997,8680-03-06 00:03:03,"têm delas face à conclusão ou ao abandono da escolaridade. Neste confronto, salienta-se, sobretudo, a ... insucesso e abandono escolar para crianças que não são""absorvidas"" pela cultura da escola ... e que vivem ... Meio Rural Reunido entre 4 e 6 de Julho, em Nelas, o IV Encontro Nacional de Educação e ...",Nelas,snippet_clean,abandono_rural_1997_C.csv
abandono rural,http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,https://arquivo.pt/wayback/19970501025752/http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,Arquivo - Correio do Vouga,862455472,1997,8624-05-05 04:07:02,"humana no espaço rural . É ou não verdade que a barra do porto de Aveiro é artificial, aberta no século ... marcado pelo abandono . A Testada teve uma população residente até meados dos anos 70, obrigada ao êxodo ...",espaço rural,snippet_clean,abandono_rural_1997_C.csv
abandono rural,http://www.drealentejo.pt/webi/Cuba/Textos/Oque.htm,https://arquivo.pt/wayback/19971028135236/http://www.drealentejo.pt/webi/Cuba/Textos/Oque.htm,O que é uma escola básica integrada?,878046756,1997,8780-04-06 07:05:06,O que é uma escola básica integrada? O que é a EBI de Cuba Uma experiência pedagógica num meio rural . A EBI Fialho de Almeida nasce no segundo ano de implementação da experiência consignada no do ... abandono escolar e criam-se condições de um melhor futuro para um concelho carenciado de propostas que ...,segundo ano de implementação da experiência consignada no do,snippet_clean,abandono_rural_1997_C.csv
abandono rural,http://www.mat.uc.pt/~cmf/artigos/horizontes.html,https://arquivo.pt/wayback/19970730084541/http://www.mat.uc.pt/~cmf/artigos/horizontes.html,Carlos Fonseca,870252341,1997,8702-05-02 03:04:01,"localidade rural de Hinojosa de Duero, na Província de Salamanca. Os seus habitantes vivem dos campos ... deterioradas coroas do Reino de Portugal. O abandono da casa da guarda fiscal é análogo ao da sua ... grandes armazéns e o edifício principal. Tudo num abandono completo... tudo indigno de se ver ...",Província de Salamanca,snippet_clean,abandono_rural_1997_C.csv
