query,original_url,archive_url,title,archive_date,year,archive_date_dt,snippet_clean,location_name,location_source,source_file
desenvolvimento rural,http://www.tc-portugal.pt/,https://arquivo.pt/wayback/19961227005052/http://www.tc-portugal.pt/,TCP - Telecentros Rurais de Portugal,851647852,1996,8516-04-07 08:05:02,Estruturas Agrárias e Desenvolvimento Rural ( IEADR ) Instituto do Emprego e Formação Profissional ( IEFP ... Agricultura Biológica ( AGROBIO ) Associação de Desenvolvimento Rural de Basto ( PROBASTO ) Associação ... Desenvolvimento e Turismo do Norte Alentejo - ADT/NA Instrumento Financeiro para a Política Comunitária de ...,Instrumento Financeiro para a Política Comunitária de,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://www.dn.pt/ige/tex6ige.htm,https://arquivo.pt/wayback/19961102132622/http://www.dn.pt/ige/tex6ige.htm,DN-Sociedade,846941182,1996,8469-04-01 01:08:02,"desafiar os países a relançar o desenvolvimento rural , de forma a tornar a agricultura mais rentável ... subdesenvolvidos - a que se passou a chamar «em vias de desenvolvimento » - sofre de fome, mas esta calamidade já há muito que deixou de ser apanágio apenas dos países tradicionalmente pobres. A chave rural O ...",vias de desenvolvimento »,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://euroinfo.ce.pt/info/pue/pu3_4.html,https://arquivo.pt/wayback/19961031133528/http://euroinfo.ce.pt/info/pue/pu3_4.html,PORTUGAL NA UNIÃO EUROPEIA,846768928,1996,8467-06-08 09:02:08,e inter-regionais; * Desenvolvimento rural ; * Regiões ultraperiféricas; * Emprego e desenvolvimento de recursos humanos; * Gestão das mutações industriais; * Desenvolvimento das periferias urbanas em ... PORTUGAL NA UNIÃO EUROPEIA O APOIO AO DESENVOLVIMENTO Iniciativas Comunitárias Até ao final do ...,UNIÃO EUROPEIA O APOIO AO DESENVOLVIMENTO Iniciativas Comunit,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://faust.cnc.pt/scripts/homec?100600+10+300,https://arquivo.pt/wayback/19961101031608/http://faust.cnc.pt/scripts/homec?100600+10+300,Patrimatic Caldas da Rainha,846818168,1996,8468-01-08 01:06:08,Desenvolvimento Regional Turismo Concelho: Caldas da Rainha Locais de Interesse Turístico Locais de Informação Turística e Cultural Actividades Turísticas Equipamentos Turísticos Turismo no Espaço Rural Planos de Desenvolvimento Turístico Gastronomia / Enologia Restaurantes / Caves e Adegas Poderá ...,Espaço Rural Planos de Desenvolvimento Turístico Gastronomia,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://faust.cnc.pt/scripts/homec?110700+11+300,https://arquivo.pt/wayback/19961101031900/http://faust.cnc.pt/scripts/homec?110700+11+300,Patrimatic Lisboa,846818340,1996,8468-01-08 03:04:00,Desenvolvimento Regional Turismo Concelho: Lisboa Locais de Interesse Turístico Locais de Informação Turística e Cultural Actividades Turísticas Equipamentos Turísticos Turismo no Espaço Rural Planos de Desenvolvimento Turístico Gastronomia / Enologia Restaurantes / Caves e Adegas Poderá ainda Consultar o mesmo ...,Espaço Rural Planos de Desenvolvimento Turístico Gastronomia,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://aurelia.si.fct.unl.pt/projects/www-amb/pnssm/poturist.htm,https://arquivo.pt/wayback/19961207075654/http://aurelia.si.fct.unl.pt/projects/www-amb/pnssm/poturist.htm,POTURIST,849945414,1996,8499-04-05 04:01:04,"- turismo de incentivos - turismo ligado ao golfe - turismo na Grande Cidade - turismo rural - turismo ... Turismo no Espaço Rural são, recentemente, um novo tipo de oferta. Algumas estão ainda em fase de apreciação, outras aprovadas (M.C.T./D.G.T., 1991). Turismo e Desenvolvimento O turismo no espaço ...",Grande Cidade,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://ccti01.esb.ucp.pt/relacoes_internacionais/eurotecnet_fqti.html,https://arquivo.pt/wayback/19961104065756/http://ccti01.esb.ucp.pt/relacoes_internacionais/eurotecnet_fqti.html,Programa EUROTECNET,847090676,1996,,] [Contacto] Objectivos Desenvolvimento da Formação Inicial e Contínua de Técnicos Intermédios em áreas ... Industrielle (F) Institut Sciences Agro-Alimentaires et du Monde Rural (F) COMAGRO UETP (F) University ... ) Intercom UETP (IS) Descrição Definição de Qualificações Profissionais Desenvolvimento de Currículos de ...,áreas,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://www.di.uminho.pt/~pinj/PIP/portugal.html,https://arquivo.pt/wayback/19961013222732/http://www.di.uminho.pt/~pinj/PIP/portugal.html,PORTUGAL,845245652,1996,8452-04-05 06:05:02,"Informação de Apoio ao Empresário; Turismo no Espaço Rural ; Acesso ao Ensino Superior; Áreas ... do sector terciário, comercio e serviços - pugnando pela sua dignificação e desenvolvimento ...",Espaço Rural,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://greco.inesca.pt/Inesc/people/npr.html,https://arquivo.pt/wayback/19961022200510/http://greco.inesca.pt/Inesc/people/npr.html,Nelson Pacheco da Rocha,846014710,1996,8460-01-04 07:01:00,"Engenharia Electrónica e Telecomunicações. No âmbito do Projecto EDDI (Ensino e Desenvolvimento de ... Carvalho, ""Plataforma Integrada para o Desenvolvimento de Aplicações de Gestão de Redes sobre o Protocolo ... o Desenvolvimento de Aplicações de Gestão de Redes sobre o Protocolo SNMP"", Mestrado em Tecnologias ...",âmbito do Projecto EDDI,snippet_clean,desenvolvimento_rural_1996_C.csv
desenvolvimento rural,http://www.telepac.pt/csonline/rinter.html,https://arquivo.pt/wayback/19961013210230/http://www.telepac.pt/csonline/rinter.html,Relações Internacionais,845240550,1996,,"de auto-regulamentação através do desenvolvimento de códigos de conduta. Composição do Comité do ... em matéria de comércio rural . - Definição de PME. - Acções comunitárias a favor das PME. 3.4 ... Parlamento Europeu sobre ""uma estratégia europeia para encorajar as iniciativas locais de desenvolvimento e ...",matéria de comércio rural,snippet_clean,desenvolvimento_rural_1996_C.csv
