query,original_url,archive_url,title,snippet,archive_date,year
abandono rural,http://www.partido-socialista.pt/partido/biblioteca/programa/parte2.htm,https://arquivo.pt/wayback/19970330181600/http://www.partido-socialista.pt/partido/biblioteca/programa/parte2.htm,Economia e Desenvolvimento," pique. A agricultura e o mundo <em>rural</em> est&atilde;o em desagrega&ccedil;&atilde;o, j&aacute; que se confundiu pol&iacute;tica agr&iacute;cola<span class=""ellipsis""> ... </span> deixados ao mais completo <em>abandono</em> em termos do controle da legalidade, como foi o caso da publicidade<span class=""ellipsis""> ... </span>",0859745760,1997
abandono rural,http://www.partido-socialista.pt/ps/partido/biblioteca/programa/parte2.htm,https://arquivo.pt/wayback/19970330195149/http://www.partido-socialista.pt/ps/partido/biblioteca/programa/parte2.htm,Economia e Desenvolvimento," pique. A agricultura e o mundo <em>rural</em> est&atilde;o em desagrega&ccedil;&atilde;o, j&aacute; que se confundiu pol&iacute;tica agr&iacute;cola<span class=""ellipsis""> ... </span> deixados ao mais completo <em>abandono</em> em termos do controle da legalidade, como foi o caso da publicidade<span class=""ellipsis""> ... </span>",0859751509,1997
abandono rural,http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,https://arquivo.pt/wayback/19970802174833/http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,pesperan,", atestam o <em>abandono</em> da &aacute;rea <em>rural</em> e, simultaneamente, a decad&ecirc;ncia do contrabando, outrora florescente na<span class=""ellipsis""> ... </span> Esperan&ccedil;a - harmonioso e belo templo <em>rural</em> do s&eacute;c. XVI, reconstru&iacute;do no s&eacute;c. XVIII; A arquitectura<span class=""ellipsis""> ... </span>",0870544113,1997
abandono rural,http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,https://arquivo.pt/wayback/19970203005307/http://www.si.fct.unl.pt/projects/www-amb/pnssm/pesperan.htm,pesperan,", atestam o <em>abandono</em> da &aacute;rea <em>rural</em> e, simultaneamente, a decad&ecirc;ncia do contrabando, outrora florescente na<span class=""ellipsis""> ... </span> Esperan&ccedil;a - harmonioso e belo templo <em>rural</em> do s&eacute;c. XVI, reconstru&iacute;do no s&eacute;c. XVIII; A arquitectura<span class=""ellipsis""> ... </span>",0854931187,1997
abandono rural,http://www.uma.pt/departamentos/biologia/sbb/texto/intro.html,https://arquivo.pt/wayback/19970604064543/http://www.uma.pt/departamentos/biologia/sbb/texto/intro.html,introduçao," regionais da eros&atilde;o gen&eacute;tica, resultante da massifica&ccedil;&atilde;o da pr&aacute;tica da monocultura agr&iacute;cola e do <em>abandono</em> do meio <em>rural</em>.<span class=""ellipsis""> ... </span>",0865406743,1997
abandono rural,http://www.cm-oeiras.pt/escolas/esec_m/concurso/projecto/h0.html,https://arquivo.pt/wayback/19970726170203/http://www.cm-oeiras.pt/escolas/esec_m/concurso/projecto/h0.html,Breve História de Ocupação Humana," um afluxo de popula&ccedil;&atilde;o <em>rural</em> &agrave;s cidades, conduziu ao <em>abandono</em> praticamente total da actividade<span class=""ellipsis""> ... </span>, levaram ao <em>abandono</em> das terras, com o decl&iacute;nio da diversifica&ccedil;&atilde;o de culturas e o recurso &agrave; monocultura<span class=""ellipsis""> ... </span>",0869936523,1997
abandono rural,http://www.freipedro.pt/tb/190697/reg7.htm,https://arquivo.pt/wayback/19970620120242/http://www.freipedro.pt/tb/190697/reg7.htm,"Terras da Beira - 19/06/97 - Região - Côa, o que é feito dos vossos moinhos?",". Os moinhos de &aacute;gua partilham a sorte da velha economia <em>rural</em> e patriarcal - ruem ao <em>abandono</em><span class=""ellipsis""> ... </span>, pertencem a mais de 50 pessoas, pois n&atilde;o se faziam partilhas, e o <em>abandono</em> foi a consequ&ecirc;ncia&raquo;, explica<span class=""ellipsis""> ... </span>",0866808162,1997
abandono rural,http://www.pcp.pt/eleitor/txt/39.txt,https://arquivo.pt/wayback/19970207055526/http://www.pcp.pt/eleitor/txt/39.txt,," propriedade somarmos 
a altera&ccedil;&atilde;o profunda das pr&aacute;ticas tradicionais da economia <em>rural</em> e 
de montanha, o <em>abandono</em> das terras e de culturas agr&iacute;colas e a 
expuls&atilde;o das popula&ccedil;&otilde;es do mundo <em>rural</em>, encontramos<span class=""ellipsis""> ... </span> desenvolvimento do sector agr&iacute;cola 
e da preserva&ccedil;&atilde;o do Mundo <em>Rural</em>.


	Floresta

A floresta<span class=""ellipsis""> ... </span>",0855294926,1997
abandono rural,http://www.pcp.pt/eleitor/txt/39.txt,https://arquivo.pt/wayback/19970720045204/http://www.pcp.pt/eleitor/txt/39.txt,," propriedade somarmos 
a altera&ccedil;&atilde;o profunda das pr&aacute;ticas tradicionais da economia <em>rural</em> e 
de montanha, o <em>abandono</em> das terras e de culturas agr&iacute;colas e a 
expuls&atilde;o das popula&ccedil;&otilde;es do mundo <em>rural</em>, encontramos<span class=""ellipsis""> ... </span> desenvolvimento do sector agr&iacute;cola 
e da preserva&ccedil;&atilde;o do Mundo <em>Rural</em>.


	Floresta

A floresta<span class=""ellipsis""> ... </span>",0869374324,1997
abandono rural,http://www.freipedro.pt/tb/190697/regiao.htm,https://arquivo.pt/wayback/19970620115120/http://www.freipedro.pt/tb/190697/regiao.htm,Terras da Beira - 19/06/97 - Região," adorno h&aacute; paisagem. Os moinhos de &aacute;gua partilham a sorte da velha economia <em>rural</em> e patriarcal - ruem ao <em>abandono</em>, invadidos pelos matos. Um dos projectos mais solicitado ao programa LEADER II foi a<span class=""ellipsis""> ... </span>",0866807480,1997
abandono rural,http://www.nst.pt/ice/iceadest.html,https://arquivo.pt/wayback/19970704170713/http://www.nst.pt/ice/iceadest.html,ICE - Actividades em destaque," t&ecirc;m delas face &agrave; conclus&atilde;o ou ao <em>abandono</em> da escolaridade. Neste confronto, salienta-se, sobretudo, a<span class=""ellipsis""> ... </span> insucesso e <em>abandono</em> escolar para crian&ccedil;as que n&atilde;o s&atilde;o&quot;absorvidas&quot; pela cultura da escola ... e que vivem<span class=""ellipsis""> ... </span> Meio <em>Rural</em> Reunido entre 4 e 6 de Julho, em Nelas, o IV Encontro Nacional de Educa&ccedil;&atilde;o e<span class=""ellipsis""> ... </span>",0868036033,1997
abandono rural,http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,https://arquivo.pt/wayback/19970501025752/http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,Arquivo - Correio do Vouga," humana no espa&ccedil;o <em>rural</em>. &Eacute; ou n&atilde;o verdade que a barra do porto de Aveiro &eacute; artificial, aberta no s&eacute;culo<span class=""ellipsis""> ... </span> marcado pelo <em>abandono</em>. A Testada teve uma popula&ccedil;&atilde;o residente at&eacute; meados dos anos 70, obrigada ao &ecirc;xodo<span class=""ellipsis""> ... </span>",0862455472,1997
abandono rural,http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,https://arquivo.pt/wayback/19970212032322/http://www.espaco-publico.pt/correio.vouga/arquivo/16_x_96c.html,Arquivo - Correio do Vouga," humana no espa&ccedil;o <em>rural</em>. &Eacute; ou n&atilde;o verdade que a barra do porto de Aveiro &eacute; artificial, aberta no s&eacute;culo<span class=""ellipsis""> ... </span> marcado pelo <em>abandono</em>. A Testada teve uma popula&ccedil;&atilde;o residente at&eacute; meados dos anos 70, obrigada ao &ecirc;xodo<span class=""ellipsis""> ... </span>",0855717802,1997
