query,original_url,archive_url,title,snippet,archive_date,year
desenvolvimento rural,http://www.ieadr.pt/,https://arquivo.pt/wayback/19970219022832/http://www.ieadr.pt/,Direcção-Geral de Desenvolvimento Rural,"Direc&ccedil;&atilde;o-Geral de <em>Desenvolvimento</em> <em>Rural</em> &nbsp; &nbsp; &nbsp; Direc&ccedil;&atilde;o-Geral de <em>Desenvolvimento</em> <em>Rural</em> Promotora dos<span class=""ellipsis""> ... </span> &aacute;reas rurais. Integradora das iniciativas e vontades do meio <em>rural</em>. &nbsp; Minist&eacute;rio da Agricultura do <em>Desenvolvimento</em> <em>Rural</em> e das Pescas D. G. D. <em>RURAL</em> Av. Defensores de Chaves n&ordm; 6, 1000 Lisboa Tel<span class=""ellipsis""> ... </span>",0856319312,1997
desenvolvimento rural,http://www.ieadr.pt/,https://arquivo.pt/wayback/19971010095531/http://www.ieadr.pt/,Direcção-Geral de Desenvolvimento Rural,"Direc&ccedil;&atilde;o-Geral de <em>Desenvolvimento</em> <em>Rural</em> &nbsp; &nbsp; &nbsp; Direc&ccedil;&atilde;o-Geral de <em>Desenvolvimento</em> <em>Rural</em> Promotora dos<span class=""ellipsis""> ... </span> &aacute;reas rurais. Integradora das iniciativas e vontades do meio <em>rural</em>. &nbsp; Minist&eacute;rio da Agricultura do <em>Desenvolvimento</em> <em>Rural</em> e das Pescas D. G. D. <em>RURAL</em> Av. Defensores de Chaves n&ordm; 6, 1000 Lisboa Tel<span class=""ellipsis""> ... </span>",0876477331,1997
desenvolvimento rural,http://www.infocid.pt/SIAE/HTML/010-1260.html,https://arquivo.pt/wayback/19970130102921/http://www.infocid.pt/SIAE/HTML/010-1260.html,PPDR - Acções de Desenvolvimento Rural,"PPDR - Ac&ccedil;&otilde;es de <em>Desenvolvimento</em> <em>Rural</em> Programa/Ac&ccedil;&atilde;o: PPDR - Ac&ccedil;&otilde;es de <em>Desenvolvimento</em> <em>Rural</em> Objectivos: Valoriza&ccedil;&atilde;o das caracter&iacute;sticas patrimoniais e elementos de interesse hist&oacute;rico-cultural<span class=""ellipsis""> ... </span> <em>Desenvolvimento</em>. Legisla&ccedil;&atilde;o Aplic&aacute;vel: Decreto-Lei n&ordm; 34/95, de 11 de Fevereiro. Resol.Conselho Ministros<span class=""ellipsis""> ... </span>",0854620161,1997
desenvolvimento rural,http://www.infocid.pt/SIAE/HTML/010-1110.html,https://arquivo.pt/wayback/19970130102540/http://www.infocid.pt/SIAE/HTML/010-1110.html,INTERREG II - Agricultura e Desenvolvimento Rural,"INTERREG II - Agricultura e <em>Desenvolvimento</em> <em>Rural</em> Programa/Ac&ccedil;&atilde;o: INTERREG II - Agricultura e <em>Desenvolvimento</em> <em>Rural</em> Objectivos: . Promover a valoriza&ccedil;&atilde;o das potencialidades espec&iacute;ficas das zonas<span class=""ellipsis""> ... </span> comuns); . Dinamiza&ccedil;&atilde;o local e <em>rural</em> (estudos, grupos de ac&ccedil;&atilde;o local e promo&ccedil;&atilde;o do <em>desenvolvimento</em><span class=""ellipsis""> ... </span>",0854619940,1997
desenvolvimento rural,http://aeborb.isa.utl.pt/agros/eco11.html,https://arquivo.pt/wayback/19970706232919/http://aeborb.isa.utl.pt/agros/eco11.html,DESENVOLVIMENTO RURAL E GESTÃO DOS RECURSOS NATURAIS,"<em>DESENVOLVIMENTO</em> <em>RURAL</em> E GEST&Atilde;O DOS RECURSOS NATURAIS <em>DESENVOLVIMENTO</em> <em>RURAL</em> E GEST&Igrave;O DOS RECURSOS<span class=""ellipsis""> ... </span> documento constitui a contribui&ccedil;&atilde;o do Grupo de <em>Desenvolvimento</em> <em>Rural</em> e Gest&atilde;o dos Recursos Naturais para uma<span class=""ellipsis""> ... </span> <em>Desenvolvimento</em> <em>Rural</em> e da Gest&atilde;o dos Recursos Agr&aacute;rios no contexto do futuro modelo de Ensino Agr&aacute;rio em<span class=""ellipsis""> ... </span>",0868231759,1997
desenvolvimento rural,http://aeborb.isa.utl.pt/agros/eco11.html,https://arquivo.pt/wayback/19971016114800/http://aeborb.isa.utl.pt/agros/eco11.html,DESENVOLVIMENTO RURAL E GESTÃO DOS RECURSOS NATURAIS,"<em>DESENVOLVIMENTO</em> <em>RURAL</em> E GEST&Atilde;O DOS RECURSOS NATURAIS <em>DESENVOLVIMENTO</em> <em>RURAL</em> E GEST&Igrave;O DOS RECURSOS<span class=""ellipsis""> ... </span> documento constitui a contribui&ccedil;&atilde;o do Grupo de <em>Desenvolvimento</em> <em>Rural</em> e Gest&atilde;o dos Recursos Naturais para uma<span class=""ellipsis""> ... </span> <em>Desenvolvimento</em> <em>Rural</em> e da Gest&atilde;o dos Recursos Agr&aacute;rios no contexto do futuro modelo de Ensino Agr&aacute;rio em<span class=""ellipsis""> ... </span>",0877002480,1997
desenvolvimento rural,http://www.pcm.gov.pt/organizacao/membros/capoulas_santos.htm,https://arquivo.pt/wayback/19970708234301/http://www.pcm.gov.pt/organizacao/membros/capoulas_santos.htm,PCM: Organização do Governo: Sec. Est. da Agricultura e do Desenvolvimento Rural,"PCM: Organiza&ccedil;&atilde;o do Governo: Sec. Est. da Agricultura e do <em>Desenvolvimento</em> <em>Rural</em> Secret&aacute;rio de Estado da Agricultura e do <em>Desenvolvimento</em> <em>Rural</em> Lu&iacute;s Manuel CAPOULAS SANTOS Nascido em Montemor-o-Novo<span class=""ellipsis""> ... </span> projectos de <em>desenvolvimento</em> <em>rural</em> no Alentejo (1980/91). Actividade Pol&iacute;tica Vereador da C&acirc;mara<span class=""ellipsis""> ... </span>",0868405381,1997
desenvolvimento rural,http://www.pcm.gov.pt/organizacao/membros/gomes_silva.htm,https://arquivo.pt/wayback/19970708234241/http://www.pcm.gov.pt/organizacao/membros/gomes_silva.htm,"PCM: Organização do Governo: Ministro da Agricultura, do Desenvolvimento Rural e das Pescas","PCM: Organiza&ccedil;&atilde;o do Governo: Ministro da Agricultura, do <em>Desenvolvimento</em> <em>Rural</em> e das Pescas Ministro da Agricultura, do <em>Desenvolvimento</em> <em>Rural</em> e das Pescas Fernando Van-Zeller GOMES DA SILVA Nascido<span class=""ellipsis""> ... </span> 1976 - Assistente no Instituto Superior de Agronomia, cadeiras de Economia <em>Rural</em> e Gest&atilde;o e<span class=""ellipsis""> ... </span>",0868405361,1997
desenvolvimento rural,http://www.partido-socialista.pt/partido/biblioteca/contrato/cap3.htm,https://arquivo.pt/wayback/19970330182057/http://www.partido-socialista.pt/partido/biblioteca/contrato/cap3.htm,DESENVOLVIMENTO E EMPREGO," territ&oacute;rio, do ambiente e de <em>desenvolvimento</em> <em>rural</em>; de desenvolver uma nova pol&iacute;tica para as cidades<span class=""ellipsis""> ... </span> pol&iacute;tica de gest&atilde;o do territ&oacute;rio e, portanto, da pol&iacute;tica para o <em>desenvolvimento</em> do Mundo <em>Rural</em>. A<span class=""ellipsis""> ... </span> pol&iacute;tica para o <em>Desenvolvimento</em> do Mundo <em>Rural</em> e para a Agricultura apoiar-se-&aacute; no ordenamento biof&iacute;sico<span class=""ellipsis""> ... </span>",0859746057,1997
desenvolvimento rural,http://www.partido-socialista.pt/ps/partido/biblioteca/contrato/cap3.htm,https://arquivo.pt/wayback/19970709184151/http://www.partido-socialista.pt/ps/partido/biblioteca/contrato/cap3.htm,DESENVOLVIMENTO E EMPREGO," territ&oacute;rio, do ambiente e de <em>desenvolvimento</em> <em>rural</em>; de desenvolver uma nova pol&iacute;tica para as cidades<span class=""ellipsis""> ... </span> pol&iacute;tica de gest&atilde;o do territ&oacute;rio e, portanto, da pol&iacute;tica para o <em>desenvolvimento</em> do Mundo <em>Rural</em>. A<span class=""ellipsis""> ... </span> pol&iacute;tica para o <em>Desenvolvimento</em> do Mundo <em>Rural</em> e para a Agricultura apoiar-se-&aacute; no ordenamento biof&iacute;sico<span class=""ellipsis""> ... </span>",0868473711,1997
