query,original_url,archive_url,title,snippet,archive_date,year
programa de apoio ao interior,http://www.ubi.pt/~tbeiras/page3.html,https://arquivo.pt/wayback/19991119010311/http://www.ubi.pt/~tbeiras/page3.html,Programa,"<em>Programa</em> &quot;MOON LAKE BLUES&quot;, <em>de</em> Tennessee Williams Encena&ccedil;&atilde;o - &nbsp;&nbsp;&nbsp;&nbsp; Gil Salgueiro Nave Cenografia e figurinos&nbsp;&nbsp; -&nbsp;&nbsp; Lu&iacute;s Mouro Desenho <em>de</em> Luz - Pedro Domingues Interpreta&ccedil;&atilde;o: &quot;27 Vagons <em>de</em> algod&atilde;o<span class=""ellipsis""> ... </span> &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - Duartes &amp; Gouveia, Lda Produ&ccedil;&atilde;o&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Alexandre Barata Textos <em>de</em> <em>apoio</em><span class=""ellipsis""> ... </span>",0942973391,1999
programa de apoio ao interior,http://www.instituto-camoes.pt/proglusitan.htm,https://arquivo.pt/wayback/19990506015635/http://www.instituto-camoes.pt/proglusitan.htm,Programa Lusitânia," Projectos <em>de</em> Investiga&ccedil;&atilde;o &nbsp;&nbsp; Sub-<em>Programa</em> II: <em>Apoio</em> &agrave; Organiza&ccedil;&atilde;o <em>de</em> Congressos e Reuni&otilde;es<span class=""ellipsis""> ... </span> portuguesas &nbsp; SUB-<em>PROGRAMA</em> II <em>Apoio</em> &agrave; Organiza&ccedil;&atilde;o <em>de</em> Congressos e Reuni&otilde;es Cient&iacute;ficas &nbsp; 1 &Acirc;mbito O Sub<span class=""ellipsis""> ... </span><em>Programa</em> Lusit&acirc;nia <em>Programa</em> Lusit&acirc;nia Decorrente <em>de</em> um protocolo celebrado com a Funda&ccedil;&atilde;o para a<span class=""ellipsis""> ... </span>",0925955795,1999
programa de apoio ao interior,http://www.instituto-camoes.pt/proglusitan.htm,https://arquivo.pt/wayback/19990203012924/http://www.instituto-camoes.pt/proglusitan.htm,Programa Lusitânia,"<em>Programa</em> Lusit&acirc;nia <em>Programa</em> Lusit&acirc;nia Decorrente <em>de</em> um protocolo celebrado com a Funda&ccedil;&atilde;o para a<span class=""ellipsis""> ... </span> Lusit&acirc;nia, destinado a investigadores nacionais, contempla tr&ecirc;s subprogramas: <em>Apoio</em> a Projectos <em>de</em> Investiga&ccedil;&atilde;o <em>Apoio</em> &agrave; Organiza&ccedil;&atilde;o <em>de</em> Congressos e Reuni&otilde;es Cient&iacute;ficas em Portugal e no Estrangeiro <em>Apoio</em> &agrave;<span class=""ellipsis""> ... </span>",0918005364,1999
programa de apoio ao interior,http://www.infocid.pt/siae/HTML/010-1090.html,https://arquivo.pt/wayback/19991103111820/http://www.infocid.pt/siae/HTML/010-1090.html,PROGRAMA LEADER,"<em>PROGRAMA</em> LEADER <em>Programa</em>/Ac&ccedil;&atilde;o: <em>PROGRAMA</em> LEADER Tipos <em>de</em> Projecto: <em>APOIO</em> T&Eacute;CNICO <em>AO</em> DESENVOLVIMENTO<span class=""ellipsis""> ... </span> <em>Programa</em> Leader pode adoptar diferentes modalidades <em>de</em> <em>apoio</em> financeiro, respeitando os condicionalismos<span class=""ellipsis""> ... </span> empresariais das zonas do <em>interior</em> e o arranque <em>de</em> pequenas e m&eacute;dias unidades. . DIVERSIFICA&Ccedil;&Atilde;O DAS<span class=""ellipsis""> ... </span>",0941627900,1999
programa de apoio ao interior,http://www.infocid.pt/siae/HTML/020-0040.html,https://arquivo.pt/wayback/19991104215320/http://www.infocid.pt/siae/HTML/020-0040.html,PROMAB - Programa de Apoio aos Mercados Abastecedores,"PROMAB - <em>Programa</em> <em>de</em> <em>Apoio</em> aos Mercados Abastecedores <em>Programa</em>/Ac&ccedil;&atilde;o: PROMAB - <em>Programa</em> <em>de</em> <em>Apoio</em> aos Mercados Abastecedores Objectivos: <em>Apoio</em> financeiro &agrave; implanta&ccedil;&atilde;o <em>de</em> uma rede nacional <em>de</em> mercados<span class=""ellipsis""> ... </span>: Consideram-se relevantes para efeito do c&aacute;lculo do <em>apoio</em> financeiro as despesas <em>de</em> implanta&ccedil;&atilde;o dos mercados<span class=""ellipsis""> ... </span>",0941752400,1999
programa de apoio ao interior,http://economia.eeg.uminho.pt/apdr99/programa.html,https://arquivo.pt/wayback/19991102234836/http://economia.eeg.uminho.pt/apdr99/programa.html,APDR - VI Encontro Nacional - Programa Provisório," torno <em>de</em> dois estudos <em>de</em> caso Pedro Guedes <em>de</em> Carvalho, Universidade da Beira <em>Interior</em> - O <em>programa</em><span class=""ellipsis""> ... </span> Julho, 1999 <em>Programa</em> Provis&oacute;rio 1 <em>de</em> Julho <em>de</em> 1999 (Quinta Feira) 09h00 - 10h00 Inscri&ccedil;&otilde;es e Recep&ccedil;&atilde;o<span class=""ellipsis""> ... </span> <em>de</em> Economia da Universidade do Porto - Impacto del mercado <em>interior</em> sobre los flujos <em>de</em> comercio<span class=""ellipsis""> ... </span>",0941586516,1999
programa de apoio ao interior,http://economia.eeg.uminho.pt/apdr99/programa.html,https://arquivo.pt/wayback/19991008211536/http://economia.eeg.uminho.pt/apdr99/programa.html,APDR - VI Encontro Nacional - Programa Provisório," torno <em>de</em> dois estudos <em>de</em> caso Pedro Guedes <em>de</em> Carvalho, Universidade da Beira <em>Interior</em> - O <em>programa</em><span class=""ellipsis""> ... </span> Julho, 1999 <em>Programa</em> Provis&oacute;rio 1 <em>de</em> Julho <em>de</em> 1999 (Quinta Feira) 09h00 - 10h00 Inscri&ccedil;&otilde;es e Recep&ccedil;&atilde;o<span class=""ellipsis""> ... </span> <em>de</em> Economia da Universidade do Porto - Impacto del mercado <em>interior</em> sobre los flujos <em>de</em> comercio<span class=""ellipsis""> ... </span>",0939417336,1999
programa de apoio ao interior,http://www.mct.pt/CidadesDigitais/prgcdig.htm,https://arquivo.pt/wayback/19991204173913/http://www.mct.pt/CidadesDigitais/prgcdig.htm,Programa Cidades Digitais," da Informa&ccedil;&atilde;o, aprovado em abril <em>de</em> 1997 pelo Conselho <em>de</em> Ministros. O actual <em>Programa</em> destina-se, numa primeira fase, a servir <em>de</em> embri&atilde;o para o <em>apoio</em> a ac&ccedil;&otilde;es mais ambiciosas a desenvolver no decurso do Quadro Comunit&aacute;rio <em>de</em> <em>Apoio</em> III. Assim, reveste-se necessariamente dum caracter piloto e<span class=""ellipsis""> ... </span>",0944329153,1999
programa de apoio ao interior,http://www.min-agricultura.pt/Documentos/03-INCENTIVOS_AJUDAS/01-PAMAF/Pdf/PDF_Projectos.htm,https://arquivo.pt/wayback/19991021213552/http://www.min-agricultura.pt/Documentos/03-INCENTIVOS_AJUDAS/01-PAMAF/Pdf/PDF_Projectos.htm,PROGRAMA DESENVOLVIMENTO FLORESTAL,"<em>PROGRAMA</em> DESENVOLVIMENTO FLORESTAL &nbsp; <em>PROGRAMA</em> <em>DE</em> DESENVOLVIMENTO FLORESTAL Actualiza&ccedil;&atilde;o: 02.10.1998<span class=""ellipsis""> ... </span> BEIRA <em>INTERIOR</em> DIREC&Ccedil;&Atilde;O REGIONAL <em>DE</em> RIBATEJO E OESTE DIREC&Ccedil;&Atilde;O REGIONAL DO ALENTEJO DIREC&Ccedil;&Atilde;O REGIONAL<span class=""ellipsis""> ... </span> Financiamento e <em>Apoio</em> <em>ao</em> Desenvolvimento da Agricultura e Pescas<span class=""ellipsis""> ... </span>",0940541752,1999
programa de apoio ao interior,http://www.regiao-sul.pt/rallye/rallye98.htm,https://arquivo.pt/wayback/19990218112408/http://www.regiao-sul.pt/rallye/rallye98.htm,PROGRAMA DA PROVA," <em>de</em> Santo Ant&oacute;nio, &quot;n&atilde;o s&oacute; <em>de</em> nos apoiar, como em prolongar esse <em>apoio</em> <em>ao</em> longo do ciclo aut&aacute;rquico<span class=""ellipsis""> ... </span> Municipal <em>de</em> Tavira na edi&ccedil;&atilde;o <em>de</em> 1998 e, esperamos em edi&ccedil;&otilde;es futuras. <em>Apoio</em> continuado voltar&aacute; o Rallye<span class=""ellipsis""> ... </span> m&aacute;quinas que disputar&atilde;o o Rallye Casinos do Algarve / 1998. <em>De</em> referir que a prova mantem-se <em>ao</em><span class=""ellipsis""> ... </span>",0919337048,1999
